date,source_region,cmd_code,cmd_desc,import_value_usd,net_weight_kg,quantity
2010-01-01,EU-27,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,1072882,764713,0
2010-01-01,EU-27,0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,8021246,2949146,0
2010-01-01,EU-27,0403,"Buttermilk, curdled milk and cream, yoghurt, kephir, fermented or acidified milk or cream, whether or not concentrated, containing added sugar, sweetening matter, flavoured or added fruit or cocoa",41742,13765,0
2010-01-01,EU-27,0404,"Whey and products consisting of natural milk constituents; whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",13995555,7993355,0
2010-01-01,EU-27,0405,Butter and other fats and oils derived from milk; dairy spreads,557456,112363,0
2010-01-01,EU-27,0406,Cheese and curd,1165521,170632,0
2010-01-01,New Zealand,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,1035388,607338,0
2010-01-01,New Zealand,0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,90791850,33535908,0
2010-01-01,New Zealand,0403,"Buttermilk, curdled milk and cream, yoghurt, kephir, fermented or acidified milk or cream, whether or not concentrated, containing added sugar, sweetening matter, flavoured or added fruit or cocoa",35264,9815,0
2010-01-01,New Zealand,0404,"Whey and products consisting of natural milk constituents; whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",1786076,595530,0
2010-01-01,New Zealand,0405,Butter and other fats and oils derived from milk; dairy spreads,10362457,3747656,0
2010-01-01,New Zealand,0406,Cheese and curd,3633019,1033191,0
2010-02-01,EU-27,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,861703,621898,0
2010-02-01,EU-27,0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,5028569,1796505,0
2010-02-01,EU-27,0403,"Buttermilk, curdled milk and cream, yoghurt, kephir, fermented or acidified milk or cream, whether or not concentrated, containing added sugar, sweetening matter, flavoured or added fruit or cocoa",52518,14018,0
2010-02-01,EU-27,0404,"Whey and products consisting of natural milk constituents; whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",12400511,7060460,0
2010-02-01,EU-27,0405,Butter and other fats and oils derived from milk; dairy spreads,362554,74999,0
2010-02-01,EU-27,0406,Cheese and curd,920122,104710,0
2010-02-01,New Zealand,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,819579,380916,0
2010-02-01,New Zealand,0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,81703371,26622683,0
2010-02-01,New Zealand,0403,"Buttermilk, curdled milk and cream, yoghurt, kephir, fermented or acidified milk or cream, whether or not concentrated, containing added sugar, sweetening matter, flavoured or added fruit or cocoa",1755,482,0
2010-02-01,New Zealand,0404,"Whey and products consisting of natural milk constituents; whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",835085,264317,0
2010-02-01,New Zealand,0405,Butter and other fats and oils derived from milk; dairy spreads,5371748,1888850,0
2010-02-01,New Zealand,0406,Cheese and curd,4023671,1103722,0
2010-03-01,EU-27,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,1160867,665734,0
2010-03-01,EU-27,0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,6597154,2121592,0
2010-03-01,EU-27,0403,"Buttermilk, curdled milk and cream, yoghurt, kephir, fermented or acidified milk or cream, whether or not concentrated, containing added sugar, sweetening matter, flavoured or added fruit or cocoa",77928,24649,0
2010-03-01,EU-27,0404,"Whey and products consisting of natural milk constituents; whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",9721707,5592421,0
2010-03-01,EU-27,0405,Butter and other fats and oils derived from milk; dairy spreads,1473863,275196,0
2010-03-01,EU-27,0406,Cheese and curd,1444407,214981,0
2010-03-01,New Zealand,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,1546312,703512,0
2010-03-01,New Zealand,0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,116552288,35422427,0
2010-03-01,New Zealand,0403,"Buttermilk, curdled milk and cream, yoghurt, kephir, fermented or acidified milk or cream, whether or not concentrated, containing added sugar, sweetening matter, flavoured or added fruit or cocoa",6096,1635,0
2010-03-01,New Zealand,0404,"Whey and products consisting of natural milk constituents; whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",2419427,561120,0
2010-03-01,New Zealand,0405,Butter and other fats and oils derived from milk; dairy spreads,7281256,1946816,0
2010-03-01,New Zealand,0406,Cheese and curd,3856987,923847,0
2010-04-01,EU-27,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,1043436,632082,0
